source,target,weight,distance
83,117,0.2698796735532956,0.7301203264467044
85,92,0.24939949767277927,0.7506005023272208
85,108,0.22971582222430992,0.7702841777756901
85,117,0.22903198680259937,0.7709680131974006
86,95,0.40764146597613155,0.5923585340238684
86,104,0.4528826545712961,0.5471173454287039
86,114,0.2668853613579542,0.7331146386420457
89,94,0.27250809130908465,0.7274919086909153
90,94,0.20633429783893517,0.7936657021610648
90,95,0.3083804836676174,0.6916195163323826
90,99,0.2615074590157066,0.7384925409842934
90,101,0.29854065201450225,0.7014593479854978
90,109,0.2206287701872098,0.7793712298127902
90,110,0.21413132994695924,0.7858686700530407
91,101,0.301807948329591,0.698192051670409
91,105,0.24756491451373053,0.7524350854862695
91,108,0.2555104610377541,0.7444895389622459
91,109,0.29766058725129874,0.7023394127487013
91,111,0.3764734673991757,0.6235265326008244
91,119,0.48090734388297285,0.5190926561170272
91,126,0.30832314814054546,0.6916768518594545
92,108,0.37444556171476157,0.6255544382852385
93,97,0.23364725462862793,0.7663527453713721
93,102,0.26291831600723287,0.7370816839927672
93,111,0.3303266893292574,0.6696733106707426
93,125,0.22909831687503956,0.7709016831249604
94,104,0.29608328896030356,0.7039167110396964
94,105,0.3230200628743994,0.6769799371256007
94,108,0.22779126866634822,0.7722087313336518
94,110,0.40789495386402025,0.5921050461359798
95,114,0.3428218917098368,0.6571781082901632
97,104,0.35396462738142626,0.6460353726185737
97,114,0.2854427641926293,0.7145572358073706
99,109,0.2130685728485806,0.7869314271514194
99,116,0.2204916906419729,0.7795083093580271
101,119,0.387733821256612,0.6122661787433881
101,123,0.23588971214661864,0.7641102878533814
102,111,0.20755277271843314,0.7924472272815668
103,115,0.21326050780398462,0.7867394921960154
104,105,0.29070209408763015,0.7092979059123699
104,110,0.21521116641911722,0.7847888335808828
104,114,0.334415736509326,0.665584263490674
105,106,0.23970002649953326,0.7602999735004667
105,110,0.31464869877951,0.6853513012204899
108,119,0.20626412855588358,0.7937358714441164
108,123,0.23020288463128907,0.7697971153687109
108,126,0.2641988655974484,0.7358011344025517
109,119,0.24282325852940198,0.757176741470598
111,119,0.3377856480316868,0.6622143519683132
111,125,0.34529865283934286,0.6547013471606571
111,126,0.26513985748550917,0.7348601425144908
113,115,0.23631858864454447,0.7636814113554555
113,116,0.2254094084313885,0.7745905915686115
118,120,0.2931206931341651,0.7068793068658349
119,123,0.24899538976949395,0.751004610230506
119,125,0.3440934138901007,0.6559065861098994
119,126,0.357865339558047,0.642134660441953
121,126,0.27381430823451036,0.7261856917654896
